iter	Logloss	Accuracy
405	0.1176143088	1
406	0.1170036457	1
407	0.1167946111	1
408	0.116241904	1
409	0.1156562646	1
410	0.1150900743	1
411	0.1145680099	1
412	0.1141288706	1
413	0.1133924046	1
414	0.1128934803	1
415	0.1122953356	1
416	0.1117393563	1
417	0.1116795896	1
418	0.1116294396	1
419	0.1113696567	1
420	0.1113168703	1
421	0.1108356341	1
422	0.1102174547	1
423	0.109648202	1
424	0.1093244488	1
425	0.1087394578	1
426	0.1082328225	1
427	0.1078558179	1
428	0.1074718669	1
429	0.1074082575	1
430	0.1072270672	1
431	0.1071733091	1
432	0.106759746	1
433	0.10670684	1
434	0.1065523969	1
435	0.1060796925	1
436	0.1058731687	1
437	0.1056612381	1
438	0.1056201775	1
439	0.1052841472	1
440	0.1045872034	1
441	0.1040927485	1
442	0.103703533	1
443	0.1034577188	1
444	0.1028824376	1
445	0.1028340556	1
446	0.1024196864	1
447	0.1020429601	1
448	0.1017587499	1
449	0.1013900534	1
450	0.1008735404	1
451	0.1006913751	1
452	0.100099943	1
453	0.09995279658	1
454	0.09954559643	1
455	0.09919285902	1
456	0.09893132748	1
457	0.09860006094	1
458	0.09848565106	1
459	0.09844709128	1
460	0.09820258318	1
461	0.09816458017	1
462	0.097874409	1
463	0.09783028682	1
464	0.09749168134	1
465	0.09721134851	1
466	0.09673012539	1
467	0.09647111514	1
468	0.09606469317	1
469	0.09592665836	1
470	0.09588368519	1
471	0.09545443538	1
472	0.09525554434	1
473	0.09499016251	1
474	0.09495482135	1
475	0.0948201962	1
476	0.09452840294	1
477	0.0943602647	1
478	0.09432269597	1
479	0.09394994469	1
480	0.09345768875	1
481	0.09308564093	1
482	0.09304869129	1
483	0.09301469149	1
484	0.0928887869	1
485	0.09239747573	1
486	0.09227526296	1
487	0.09196856613	1
488	0.0916613823	1
489	0.09142713186	1
490	0.09097855338	1
491	0.09094573135	1
492	0.09091196539	1
493	0.09048577139	1
494	0.09005267178	1
495	0.09002070007	1
496	0.0898165977	1
497	0.08968954694	1
498	0.08965822283	1
499	0.08931353591	1
500	0.08899702401	1
501	0.08896516799	1
502	0.08867114563	1
503	0.08847420452	1
504	0.08833599024	1
505	0.08797382483	1
506	0.08794409306	1
507	0.08766916409	1
508	0.08763962773	1
509	0.08733872614	1
510	0.08707794499	1
511	0.08679389051	1
512	0.08645055071	1
513	0.08617494823	1
514	0.08614645893	1
515	0.08603559764	1
516	0.0860075302	1
517	0.08598152086	1
518	0.08572965372	1
519	0.08566570573	1
520	0.08520397081	1
521	0.08494815218	1
522	0.08458770719	1
523	0.08456053193	1
524	0.08437648732	1
525	0.08384033987	1
526	0.08381548067	1
527	0.08347739571	1
528	0.08323148254	1
529	0.08299153351	1
530	0.08273393857	1
531	0.08264928901	1
532	0.08262317516	1
533	0.08238555688	1
534	0.08224763757	1
535	0.08222326997	1
536	0.08184721607	1
537	0.08162466282	1
538	0.08159916107	1
539	0.08157397323	1
540	0.08133698079	1
541	0.08131236097	1
542	0.08125352506	1
543	0.0811503588	1
544	0.08092070664	1
545	0.08063405697	1
546	0.08034864364	1
547	0.08032451105	1
548	0.080245935	1
549	0.08022213522	1
550	0.08019814389	1
551	0.07987512857	1
552	0.07953187651	1
553	0.07950845801	1
554	0.07920883385	1
555	0.07893343248	1
556	0.0789102158	1
557	0.07879477399	1
558	0.07877153115	1
559	0.07874888241	1
560	0.07872767252	1
561	0.07855275822	1
562	0.0783074304	1
563	0.07794446829	1
564	0.07792339652	1
565	0.07766097593	1
566	0.07729508537	1
567	0.07703732761	1
568	0.0769062737	1
569	0.07669447833	1
570	0.0763462986	1
571	0.07612538721	1
572	0.07571845903	1
573	0.07569651698	1
574	0.07552798084	1
575	0.07538663769	1
576	0.07518410979	1
577	0.07506780203	1
